SampleID	Helicobacter	Lactobacillus	Ligilactobacillus	Bacteroides	Bifidobacterium	Duncaniella	Paramuribaculum	Parabacteroides	Blautia	Phocaeicola	Parasutterella	Barnesiella	Prevotella	Limosilactobacillus	Muribaculum	Enterocloster	Clostridium	Anaerostipes	Escherichia	Akkermansia	Candidatus_Arthromitus	Turicimonas	Klebsiella	Desulfovibrio	Erysipelatoclostridium	Clostridioides	Alistipes	Adlercreutzia	Anaerotruncus	Faecalibaculum	Enterococcus	Odoribacter	Streptococcus	Dorea	Heminiphilus
A45E145	0.2679979	0	0.0011483	0.3048179	0	0.0010921	0	0.0375745	0	0.1279836	0.0056458	0.0004143	0	0	0.0010012	0	0.0488602	0	0.0238681	0	0	0	0.0331605	0	0.0155121	0.0552006	0.0027789	0	0	0	0.0341823	0	0	0	0
A92E185	0.0311507	0.0157332	0.0262468	0.2277298	0.0582896	0.0120874	0.0150668	0.070826	0.051497	0	0.0291134	0.0107853	0	0.0002232	0.0019786	0.0250088	0.0067539	0.0284743	0.0008664	0.0021043	0	0.0012512	0.0031819	0	0.0096491	0.0021078	0.0002361	0.0010758	0	0	0.0010071	0	0	0.0008439	0
C1.E145	0.0129083	0.1870805	0.005636	0.0014742	0.0011333	0.0076598	0.0196156	0.002321	0	0.0002539	0.0023435	0.0081536	0.0042152	0.0128507	0.0086058	0	0	0	0	0.0057718	0.0017887	0.0010106	0	0.0014835	0	0	0	0.0091452	0.0103023	0	0	0.0040793	0.0112019	0.0102978	0
C103E185	0.1336767	0.1646869	0.0178146	0.0079349	0.0086557	0.0226123	0.0238029	0.0020429	0	0.0089269	0.0176065	0.0137053	0.0843267	0.0248549	0.0126167	0	0	0	0.0000344	0.0036894	0.0030946	0.0063891	0	0.0010291	0.0002245	0	0.000119	0.0038571	0.0071101	0.0000482	0	0	0.0052164	0.0002843	0.0021158
C104E185	0.0248175	0.2157747	0.0617513	0.0163735	0.0011284	0.0056976	0.0195216	0.0066002	0	0.001862	0.0029782	0.016833	0.0266831	0.0532203	0.0085219	0	0	0	0.0815884	0.0103515	0.0274383	0.0008321	0	0	0.0005056	0	0.0011067	0.0035243	0.0073265	0	0	0.0005037	0.0065824	0.0113928	0.0005959
C112E145	0.006966	0.1270581	0.0519211	0.0025773	0.0973357	0.0799755	0.0432085	0.0000137	0	0	0.0136611	0.0246841	0.0003375	0.0113501	0.0056612	0	0	0	0	0	0.0091403	0.0034042	0	0.0158057	0	0	0	0.0030831	0.0012313	0	0	0.0003265	0	0.0003424	0
C122E145	0.0426039	0.0440921	0.0361073	0.0147595	0.0392855	0.071982	0.0337331	0.0047409	0	0.0000514	0.0051346	0.0109218	0.0046379	0.0065043	0.0247296	0	0	0	0	0	0.0017334	0.00159	0	0.0063222	0	0	0.0001595	0.0036835	0.0009831	0.0004796	0	0.0007442	0.0002793	0	0
C12E185	0.2050195	0.0015014	0.0199491	0.0117005	0	0.0291834	0.0071277	0.0000602	0	0.0002671	0.0012804	0.0072443	0.0006527	0.0007054	0.0027252	0	0	0	0	0	0.0007362	0	0	0.0194258	0	0	0	0.000916	0.0118918	0	0	0.0099652	0.0021654	0.0001792	0
C13E185	0.1945181	0.0015327	0.0212585	0.0126305	0	0.032622	0.0087695	0.0000784	0	0.0002151	0.0017499	0.0081982	0.0006639	0.0002366	0.0036519	0	0	0	0	0	0.0006516	0	0	0.023628	0	0	0	0.0013346	0.0137537	0	0	0.0103408	0.0015548	0.000144	0
C2.E145	0.0143282	0.0629303	0.0069785	0.0013805	0.0090956	0.0111987	0.0220036	0.0034056	0	0.0002906	0.0093385	0.0132897	0.0280884	0.0061258	0.0092468	0	0	0	0	0.0007397	0.0021611	0.001861	0	0.0006961	0	0	0	0.0065515	0.0032831	0.0001786	0	0.000034	0.0009942	0	0
C21E145	0.0051831	0.1331388	0.0341453	0.0085304	0.0798889	0.0726184	0.038725	0.0015254	0	0.0001993	0.0123266	0.0259647	0.003075	0.0086764	0.0059053	0	0	0	0	0	0.0161143	0.0026168	0	0.0131348	0	0	0	0.0059782	0.0004939	0	0	0.0000363	0.0005631	0.0000707	0
C4.E145	0.0042449	0.2030516	0.0203838	0.00097	0.00106	0.0217683	0.062097	0.0000583	0	0	0.0101255	0.0451274	0.0099141	0.0133758	0.0097315	0	0.0001493	0	0	0.0001824	0.004174	0.0038365	0	0	0	0	0	0.0035636	0.0004597	0	0	0.0018197	0.0000936	0	0
C51E145	0.0513445	0.1022729	0.1044153	0.0029497	0	0.0014602	0.0445514	0.0017248	0	0.0017519	0.0092476	0.0019469	0.0466524	0.0109555	0.0016211	0	0	0	0	0.0008181	0.028313	0	0	0.0036396	0.0005449	0	0.0001048	0.0058674	0.0095617	0	0	0.0023827	0.0122673	0.0117893	0
C54E145	0.0481434	0.0346621	0.0416922	0.0047987	0.0631901	0.074472	0.0337846	0.000801	0	0.0000091	0.0045697	0.0226619	0.0019473	0.0026711	0.0254476	0	0	0	0	0	0.0020504	0.0018728	0	0.0022868	0	0	0.000582	0.0074244	0.0012958	0.000379	0	0.0014955	0.0003905	0.000126	0
C94E185	0.0236184	0.0769923	0.0147868	0.0012346	0.0215003	0.0262625	0.0181631	0.0036106	0	0.0001807	0.012347	0.0256628	0.0278127	0.0148848	0.0143802	0	0	0	0	0.0000076	0.0065037	0.0036669	0	0.0042957	0	0	0	0.0050855	0.0081575	0.0003248	0	0	0.0000915	0.0036159	0
